experiment_id,variant,alpha,seed,label,label_index,support,precision,recall,f1,tp,fp,fn,zero_division_policy
A1,no_payload,0.5,0,scanning,8,2929,1.0,0.98429498122226,0.9920853406744666,2883,0,46,0.0
A1,no_payload,0.5,0,xss,9,7206,0.9518474056289182,0.990285872883708,0.9706862545058832,7136,361,70,0.0
A1,no_payload,0.5,1,backdoor,0,2896,0.9904109589041096,0.9986187845303868,0.9944979367262724,2892,28,4,0.0
A1,no_payload,0.5,1,ddos,1,16118,0.9951951077460688,0.8481201141580841,0.9157901788705032,13670,66,2448,0.0
A1,no_payload,0.5,1,dos,2,13676,0.990711175616836,0.9982451009066978,0.9944638694638694,13652,128,24,0.0
A1,no_payload,0.5,1,injection,3,1638,0.7790556900726392,0.7857142857142857,0.782370820668693,1287,365,351,0.0
A1,no_payload,0.5,1,mitm,4,61,0.45,0.1475409836065573,0.2222222222222222,9,11,52,0.0
A1,no_payload,0.5,1,normal,5,3031,0.5488988428518103,0.9703068294292312,0.7011562760758135,2941,2417,90,0.0
A1,no_payload,0.5,1,password,6,4609,0.9968817462221156,0.901714037752224,0.9469127363864206,4156,13,453,0.0
A1,no_payload,0.5,1,ransomware,7,235,0.6121372031662269,0.9872340425531916,0.755700325732899,232,147,3,0.0
A1,no_payload,0.5,1,scanning,8,2929,1.0,0.99556162512803,0.997775876817793,2916,0,13,0.0
A1,no_payload,0.5,1,xss,9,7206,0.9539429642522426,0.988759367194005,0.9710391822827938,7125,344,81,0.0
A2,hashed_ngrams,0.5,0,backdoor,0,2896,0.9951823812801102,0.9986187845303868,0.9968976215098242,2892,14,4,0.0
A2,hashed_ngrams,0.5,0,ddos,1,16118,0.9951880367189814,0.8340364809529718,0.907513670424627,13443,65,2675,0.0
A2,hashed_ngrams,0.5,0,dos,2,13676,0.9910688353180366,0.9980257385200352,0.9945351209559896,13649,123,27,0.0
A2,hashed_ngrams,0.5,0,injection,3,1638,0.965633423180593,0.8748473748473748,0.9180012812299808,1433,51,205,0.0
A2,hashed_ngrams,0.5,0,mitm,4,61,0.1043478260869565,0.1967213114754098,0.1363636363636363,12,103,49,0.0
A2,hashed_ngrams,0.5,0,normal,5,3031,0.5646413022903654,0.9841636423622568,0.7175847967284099,2983,2300,48,0.0
A2,hashed_ngrams,0.5,0,password,6,4609,0.996000888691402,0.972662182686049,0.9841931942919868,4483,18,126,0.0
A2,hashed_ngrams,0.5,0,ransomware,7,235,0.6544943820224719,0.9914893617021276,0.7884940778341794,233,123,2,0.0
A2,hashed_ngrams,0.5,0,scanning,8,2929,1.0,0.99283031751451,0.996402261435669,2908,0,21,0.0
A2,hashed_ngrams,0.5,0,xss,9,7206,0.9496431403647898,0.9970857618651124,0.9727863525588952,7185,381,21,0.0
A2,hashed_ngrams,0.5,1,backdoor,0,2896,0.9917695473251028,0.9986187845303868,0.9951823812801102,2892,24,4,0.0
A2,hashed_ngrams,0.5,1,ddos,1,16118,0.995622495919276,0.8325474624643256,0.9068117313150426,13419,59,2699,0.0
A2,hashed_ngrams,0.5,1,dos,2,13676,0.9969302733518492,0.9973676513600468,0.9971489143943272,13640,42,36,0.0
A2,hashed_ngrams,0.5,1,injection,3,1638,0.9274141283214518,0.8736263736263736,0.8997170701037409,1431,112,207,0.0
A2,hashed_ngrams,0.5,1,mitm,4,61,0.5,0.360655737704918,0.419047619047619,22,22,39,0.0
A2,hashed_ngrams,0.5,1,normal,5,3031,0.5636882129277566,0.978225008248103,0.7152333855988421,2965,2295,66,0.0
A2,hashed_ngrams,0.5,1,password,6,4609,0.9995505617977528,0.9650683445432848,0.982006844022519,4448,2,161,0.0
A2,hashed_ngrams,0.5,1,ransomware,7,235,0.6246648793565683,0.9914893617021276,0.7664473684210527,233,140,2,0.0
A2,hashed_ngrams,0.5,1,scanning,8,2929,1.0,0.9743939911232502,0.9870309527926682,2854,0,75,0.0
A2,hashed_ngrams,0.5,1,xss,9,7206,0.921271957943326,0.9970857618651124,0.9576807730756416,7185,614,21,0.0
